511-10010-019-L-XL,0000000
511-10011-019-L-XL,0000009
511-10012-019-L-XL,0000000
511-30012-019-M,0000000
511-40011-010-L,0000000
511-40011-010-M,0000002
511-40011-010-XL,0000000
511-40011-010-XXL,0000000
511-40011-019-L,0000000
511-40011-019-M,0000000
511-40011-019-XL,0000003
511-40107-019-L,0000000
511-41060-019-XL,0000000
511-41060-019-XXL,0000000
511-41060-724-L,0000007
511-41060-724-M,0000001
511-41060-724-XL,0000016
511-41060-724-XXL,0000015
511-50023,0000016
511-50028,0000011
511-50029,0000010
511-50030,0000000
511-50095,0000000
511-50096,0000002
511-50102,0000005
511-50103,0000000
511-50132-019,0000000
511-50159-019,0000000
511-50159-328,0000006
511-50235,0000002
511-50236,0000000
511-50248C-019,0000002
511-50249C-019,0000054
511-51057,0000001
511-51059,0000000
511-51061,0000008
511-51073-461,0000000
511-51080-836,0000001
511-52033-920,0000000
511-52034-920,0000019
511-52035-920,0000006
511-53019-019,0000049
511-53021-019,0000004
511-53023-019,0000004
511-53025-019,0000001
511-53027-019,0000000
511-53028-019,0000052
511-53029-019,0000003
511-53030-019,0000011
511-53031-019,0000000
511-53032-019,0000000
511-54000,0000050
511-54000-328,0000003
511-54001,0000000
511-56003-019,0000002
511-56026-019,0000000
511-56026-131,0000030
511-56029-019,0000004
511-56030-019,0000013
511-56030-131,0000028
511-56031-188,0000000
511-56037-019,0000062
511-56037-131,0000012
511-56045-019,0000002
511-56061-019,0000012
511-56061-182,0000002
511-56061-328,0000001
511-56084-019,0000000
511-56086-019,0000003
511-56086-328,0000005
511-56087,0000000
511-56091,0000006
511-56096-019,0000043
511-56096-182,0000002
511-56096-328,0000014
511-56100-019,0000000
511-56100-188,0000000
511-56100-328,0000038
511-56114-019,0000000
511-56119-019,0000000
511-56119-188,0000005
511-56119-328,0000013
511-56134-019,0000018
511-56134-328,0000062
511-56154-019,0000015
511-56154-188,0000004
511-56154-328,0000007
511-56155-019,0000019
511-56155-188,0000000
511-56155-328,0000003
511-56156-019,0000014
511-56156-188,0000005
511-56156-328,0000000
511-56157-019,0000007
511-56157-188,0000002
511-56157-328,0000000
511-56158-019,0000004
